state,year,persons_avg,persons_max,n_months,state_fips,burden_index,no_online_app,recert_burden,no_bbce,no_simplereport,certnonearnavg,bbce,oapp_mean
Florida,2017,3452359.8333333335,5797835,12,12,0.21330138088548226,0,0.853205523541929,0,0,8.330794666666666,1,1
Florida,2018,3014660.5833333335,3205617,12,12,0.211041870818759,0,0.844167483275036,0,0,8.495925916666666,1,1
Florida,2019,2588237.8333333335,2888654,12,12,0.16028076550138332,0,0.854830749340711,0,0,8.301100666666667,1,1
Georgia,2010,1646831.8333333333,1743287,12,13,0.22306010859723688,0,0.8922404343889475,0,0,7.617599833333333,1,1
Georgia,2011,1817461.75,1885046,12,13,0.22878457933248142,0,0.9151383173299257,0,0,7.199239666666667,1,1
Georgia,2012,1935276.4166666667,1972221,12,13,0.2310229729302718,0,0.9240918917210872,0,0,7.035651666666666,1,1
Georgia,2013,1962980.3333333333,2123806,12,13,0.2284625836832015,0,0.913850334732806,0,0,7.222772,1,1
Georgia,2014,1896898.9166666667,2044251,12,13,0.22904070560107961,0,0.9161628224043185,0,0,7.18052125,1,1
Georgia,2015,1782361.25,1800006,12,13,0.22689394897212067,0,0.9075757958884827,0,0,7.337412166666667,1,1
Georgia,2016,1710319.9166666667,1897350,12,13,0.4711571839570536,1,0.8846287358282142,0,0,7.756670833333334,1,0
Georgia,2017,1601090.5,1656234,12,13,0.47158866734038685,1,0.8863546693615473,0,0,7.725136833333333,1,0
Georgia,2018,1537619.5833333333,1597214,12,13,0.46849947582718815,1,0.8739979033087526,0,0,7.9509035,1,0
Georgia,2019,1296670.1666666667,1452314,12,13,0.43676218471455086,1,0.8849538740331602,0,0,7.750730333333333,1,0
Hawaii,2010,143577.16666666666,156355,12,15,0.608711370009047,1,0.6848454800361877,0.75,0,11.406849166666667,0.25,0
Hawaii,2011,164155.33333333334,173143,12,15,0.4212559199545735,1,0.6850236798182942,0,0,11.403593333333333,1,0
Hawaii,2012,180764,187917,12,15,0.4216877819041191,1,0.6867511276164764,0,0,11.372031666666667,1,0
Hawaii,2013,191196.91666666666,194961,12,15,0.4229802548438414,1,0.6919210193753654,0,0,11.277574166666666,1,0
Hawaii,2014,194576.41666666666,196639,12,15,0.4242343580454789,1,0.6969374321819156,0,0,11.185920833333334,1,0
Hawaii,2015,185267.5,192916,12,15,0.42477640328747995,1,0.6991056131499198,0,0,11.146306666666668,1,0
Hawaii,2016,174558.25,178137,12,15,0.4228209377619633,1,0.6912837510478531,0,0,11.2892175,1,0
Hawaii,2017,167512.83333333334,171201,12,15,0.4277896991166691,1,0.7111587964666765,0,0,10.926086666666667,1,0
Hawaii,2018,162126.75,165140,12,15,0.4239817221117478,1,0.6959268884469911,0,0,11.204384166666667,1,0
Hawaii,2019,143473.58333333334,162260,12,15,0.3989060914240869,1,0.6830547098173525,0,0,11.439567777777778,1,0
Idaho,2010,206141.83333333334,223347,12,16,0.44223561930038924,1,0.7689424772015568,0,0,9.870338833333333,1,0
Idaho,2011,232349.25,236395,12,16,0.42627537953497696,1,0.7051015181399077,0,0,11.036757333333334,1,0
Idaho,2012,231136.41666666666,237816,12,16,0.4016922224401791,1,0.6067688897607163,0,0,12.8333625,1,0
Idaho,2013,224622.75,231301,12,16,0.43215763484309555,1,0.7286305393723821,0,0,10.606865833333334,1,0
Idaho,2014,207590.08333333334,217399,12,16,0.4242618269010647,1,0.6970473076042586,0,0,11.183913333333333,1,0
Idaho,2015,194206.83333333334,199944,12,16,0.4204524245715488,1,0.6818096982861952,0,0,11.462315,1,0
Idaho,2016,181778.16666666666,192272,12,16,0.44620149034311346,1,0.7848059613724538,0,0,9.580502,1,0
Idaho,2017,167633.08333333334,176682,12,16,0.4450196203114073,1,0.7800784812456292,0,0,9.666876333333333,1,0
Idaho,2018,154721.66666666666,162945,12,16,0.42476022300268285,1,0.6990408920107314,0,0,11.147489166666666,1,0
Idaho,2019,134415.33333333334,150376,12,16,0.3913941747070481,1,0.6429911539931457,0,0,12.171556666666667,1,0
Illinois,2014,2053277,2076871,3,17,0.16138063261825736,0,0.6455225304730294,0,0,12.125306666666667,1,1
Illinois,2015,2026362.75,2060572,12,17,0.1763018198763353,0,0.7052072795053412,0,0,11.034825,1,1
Illinois,2016,1895687,1938304,12,17,0.18111160622706574,0,0.7244464249082629,0,0,10.6833125,1,1
Illinois,2017,1865341.75,1902285,12,17,0.16723151026062213,0,0.6689260410424885,0,0,11.697708333333333,1,1
Illinois,2018,1803885.3333333333,1872619,12,17,0.16069692151415688,0,0.6427876860566275,0,0,12.175274166666666,1,1
Illinois,2019,1641195.0833333333,1826750,12,17,0.12022254913315089,0,0.641186928710138,0,0,12.204521111111111,1,1
Indiana,2010,833875.1666666666,871666,12,18,0.4540879435947655,0,0.816351774379062,1,0,9.004138166666667,0,2
Indiana,2011,886985.4166666666,906446,12,18,0.44729702789399917,0,0.7891881115759966,1,0,9.500437083333333,0,2
Indiana,2012,913930.75,925574,12,18,0.4235877053808362,0,0.6943508215233446,1,0,11.233179999999999,0,2
Indiana,2013,924406.0833333334,931675,12,18,0.41901715691264824,0,0.676068627650593,1,0,11.567208333333333,0,2
Indiana,2014,878080.3333333334,898362,12,18,0.41799041008773324,0,0.671961640350933,1,0,11.642245833333334,0,2
Indiana,2015,810537.75,847287,12,18,0.42050342838683946,0,0.6820137135473577,1,0,11.4585875,0,2
Indiana,2016,722883.75,757243,12,18,0.4167132736406481,0,0.6668530945625925,1,0,11.7355825,0,2
Indiana,2017,656263.9166666666,682077,12,18,0.41621127431845495,0,0.6648450972738198,1,0,11.772269999999999,0,1.9166666666666667
Indiana,2018,605836.4166666666,625188,12,18,0.16633280319468288,0,0.6653312127787315,0,0,11.763388333333333,1,1
Indiana,2019,525338.0833333334,603782,12,18,0.1236893376379322,0,0.6596764674023051,0,0,11.866704444444444,1,1
Iowa,2010,346624.6666666667,354552,12,19,0.47630805048325486,0,0.9052322019330193,1,0,7.38023125,0,1
Iowa,2011,385663,403116,12,19,0.22738207361458085,0,0.9095282944583234,0,0,7.301738666666667,1,1
Iowa,2012,412553.9166666667,419315,12,19,0.22711691648935173,0,0.9084676659574069,0,0,7.321117083333333,1,1
Iowa,2013,420033.9166666667,423428,12,19,0.22359494397730895,0,0.8943797759092358,0,0,7.5785125833333336,1,1
Iowa,2014,403102.3333333333,411462,12,19,0.2278180633041522,0,0.9112722532166088,0,0,7.269875333333333,1,1
Iowa,2015,387781.25,396501,12,19,0.22801691204872446,0,0.9120676481948978,0,0,7.255342916666667,1,1
Iowa,2016,378474.1666666667,382437,12,19,0.22564812975702656,0,0.9025925190281062,0,0,7.428460083333333,1,1
Iowa,2017,361143.6666666667,370106,12,19,0.21981086795544838,0,0.8792434718217935,0,0,7.855063333333334,1,1
Iowa,2018,339040.0833333333,353019,12,19,0.22487038029721773,0,0.8994815211888709,0,0,7.485300166666667,1,1
Iowa,2019,289276.75,327902,12,19,0.16629378236832337,0,0.886900172631058,0,0,7.715170111111111,1,1
Kansas,2010,279923.6666666667,295787,12,20,0.3981158891883606,0,0.5924635567534424,1,0,13.094730833333333,0,1
Kansas,2011,299913.0833333333,303667,12,20,0.39516471470629944,0,0.5806588588251976,1,0,13.310410833333334,0,1
