state,date,persons
California,2011-01-01,3602170
California,2011-02-01,3619055
California,2011-03-01,3669962
California,2011-04-01,3679671
California,2011-05-01,3727005
California,2011-06-01,3739233
California,2011-07-01,3776195
California,2011-08-01,3818822
California,2011-09-01,3851823
California,2011-10-01,3867094
California,2011-11-01,3875258
California,2011-12-01,3904099
California,2012-01-01,3917804
California,2012-02-01,3925017
California,2012-03-01,3961829
California,2012-04-01,3956504
California,2012-05-01,3980231
California,2012-06-01,4011628
California,2012-07-01,4034260
California,2012-08-01,4062422
California,2012-09-01,4074501
California,2012-10-01,4107543
California,2012-11-01,4108565
California,2012-12-01,4127070
California,2013-01-01,4155083
California,2013-02-01,4147880
California,2013-03-01,4180235
California,2013-04-01,4163620
California,2013-05-01,4169854
California,2013-06-01,4167502
California,2013-07-01,4181660
California,2013-08-01,4198369
California,2013-09-01,4200988
California,2013-10-01,4245372
California,2013-11-01,4264816
California,2013-12-01,4295452
California,2014-01-01,4308752
California,2014-02-01,4311206
California,2014-03-01,4336066
California,2014-04-01,4349203
California,2014-05-01,4362874
California,2014-06-01,4419104
California,2014-07-01,4434106
California,2014-08-01,4439090
California,2014-09-01,4429570
California,2014-10-01,4431666
California,2014-11-01,4381564
California,2014-12-01,4407217
California,2015-01-01,4400060
California,2015-02-01,4397992
California,2015-03-01,4410913
California,2015-04-01,4415987
California,2015-05-01,4421016
California,2015-06-01,4429146
California,2015-07-01,4433744
California,2015-08-01,4441949
California,2015-09-01,4442010
California,2015-10-01,4436189
California,2015-11-01,4423656
California,2015-12-01,4416807
California,2016-01-01,4384491
California,2016-02-01,4354226
California,2016-03-01,4378063
California,2016-04-01,4319732
California,2016-05-01,4302479
California,2016-06-01,4287282
California,2016-07-01,4257428
California,2016-08-01,4267498
California,2016-09-01,4252654
California,2016-10-01,4230399
California,2016-11-01,4228297
California,2016-12-01,4194962
California,2017-01-01,4165897
California,2017-02-01,4126328
California,2017-03-01,4117613
California,2017-04-01,4071767
California,2017-05-01,4058708
California,2017-06-01,4048374
California,2017-07-01,4021166
California,2017-08-01,4040968
California,2017-09-01,4040313
California,2017-10-01,4041711
California,2017-11-01,4025040
California,2017-12-01,4025533
California,2018-01-01,4003826
California,2018-02-01,3969931
California,2018-03-01,3980048
California,2018-04-01,3938934
California,2018-05-01,3922366
California,2018-06-01,3894395
California,2018-07-01,3871003
California,2018-08-01,3875364
California,2018-09-01,3846268
California,2018-10-01,3830650
California,2018-11-01,3795514
California,2018-12-01,3773446
California,2019-01-01,3727456
California,2019-02-01,606095
California,2019-03-01,3677090
California,2019-04-01,3623654
California,2019-05-01,3636313
California,2019-06-01,3775793
California,2019-07-01,3914962
California,2019-08-01,3987750
California,2019-09-01,4004917
California,2019-10-01,4040645
California,2019-11-01,4042531
California,2019-12-01,4059554
California,2020-01-01,4043672
California,2020-02-01,4031055
California,2020-03-01,4041711
California,2020-04-01,4451007
California,2020-05-01,4637893
California,2020-06-01,4775267
California,2020-07-01,4564117
California,2020-08-01,4519289
California,2020-09-01,4537280
California,2020-10-01,4375694
California,2020-11-01,4245238
California,2020-12-01,4234649
California,2021-01-01,4368759
California,2021-02-01,4451404
California,2021-03-01,4309750
California,2021-04-01,4291627
California,2021-05-01,4259446
California,2021-06-01,4237518
California,2021-07-01,4412673
California,2021-08-01,4340990
California,2021-09-01,4396992
California,2021-10-01,4488318
California,2021-11-01,4528129
California,2021-12-01,4465861
California,2022-01-01,4470515
California,2022-02-01,4489949
California,2022-03-01,4572651
California,2022-04-01,4612800
California,2022-05-01,4669304
California,2022-06-01,4741370
California,2022-07-01,4896195
California,2022-08-01,4553236
California,2022-09-01,5044603
California,2022-10-01,5052731
California,2022-11-01,5166416
California,2022-12-01,5196207
California,2023-01-01,5216600
California,2023-02-01,5245040
California,2023-03-01,5279190
California,2023-04-01,5172539
California,2023-05-01,5215990
California,2023-06-01,5265551
California,2023-07-01,5230031
California,2023-08-01,5287586
California,2023-09-01,5278649
Colorado,2014-10-01,502721
Colorado,2014-11-01,499087
Colorado,2014-12-01,503645
Colorado,2015-01-01,500125
Colorado,2015-02-01,494727
Colorado,2015-03-01,498271
Colorado,2015-04-01,493102
Colorado,2015-05-01,494150
Colorado,2015-06-01,492908
Colorado,2015-07-01,489675
Colorado,2015-08-01,488427
Colorado,2015-09-01,484767
Colorado,2015-10-01,481892
Colorado,2015-11-01,479102
Colorado,2015-12-01,481720
Colorado,2016-01-01,480212
Colorado,2016-02-01,478383
Colorado,2016-03-01,477783
Colorado,2016-04-01,475244
Colorado,2016-05-01,473690
Colorado,2016-06-01,471792
Colorado,2016-07-01,469090
Colorado,2016-08-01,471950
Colorado,2016-09-01,467426
Colorado,2016-10-01,466789
Colorado,2016-11-01,465069
Colorado,2016-12-01,466844
Colorado,2017-01-01,468636
Colorado,2017-02-01,461645
Colorado,2017-03-01,465246
Colorado,2017-04-01,457848
Colorado,2017-05-01,457445
Colorado,2017-06-01,454291
